"entities","keywords","summary"
"Magdalena Rusu, Simona Radiș, Florin Arteni, Florin Lehaci, Shanghai","campioane mondiale, dublu rame, victorie, situație medicală, argint","Magdalena Rusu și Simona Radiș au devenit campioane mondiale la dublu rame în cadrul întrecerilor de la Shanghai, o victorie în spatele căreia s-a aflat o situație medicală dură pentru una dintre protagoniste. Florin Arteni și Florin Lehaci au cucerit un argint meritat."
"Sergio Ramos, Toluca, Monterrey, prima ligă Mexicană","fundaș central, penalty, scăriță, meci, scor, etapa","Fundașul central Sergio Ramos (39 de ani) a încercat să înscrie din „scăriță” din penalty în meciul dintre Toluca și Monterrey, pierdut de echipa lui cu scorul de 2-6. Partida s-a jucat joi dimineață, în etapa a 10-a a primei ligi Mexicane."
"Răzvan Oaidă, Universitatea Cluj, Camera Națională pentru Soluționarea Litigiilor, FRF","mijlocaș, aventură, contract, litigii, gruparea ardeleană","Răzvan Oaidă (27 de ani), mijlocașul celor de la Universitatea Cluj, a încheiat aventura la gruparea ardeleană, cu care mai avea contract până în vara anului viitor. Cazul acestuia a ajuns pe masa celor de la Camera Națională pentru Soluționarea Litigiilor din cadrul FRF."
"Andrei Niculescu, Gazeta, Ousmane Dembele, Balonul de Aur","scrie, câștigătorul, despre","Andrei Niculescu scrie în Gazeta despre Ousmane Dembele, câștigătorul Balonului de Aur"
"Carlos Alcaraz, ATP, Tokyo, US Open","debut, turneu, coșmar, glezna, numărul 1 mondial","Debutul lui Carlos Alcaraz (22 de ani) la turneul ATP de la Tokyo ar fi trebuit să fie un motiv de sărbătoare pentru campionul de la US Open, dar totul se pute transforma într-un coșmar. Tenismenul spaniol și-a sucit glezna sub ochii a mii de fani, iar spaima a fost mare în jurul numărului 1 mondial."
"Adrian Mazilu, Dinamo, Brighton","transfer, mercato, achitat, mijlocaș, antrenează separat","Adrian Mazilu (20 de ani) reprezintă ultimul transfer făcut de Dinamo în această perioadă de mercato. „Câinii” le-au achitat celor de la Brighton aproximativ 450.000 de euro. Mijlocașul dreapta se antrenează separat în acest moment, urmează să intre peste câteva săptămâni în programul echipei."
"Simao Rocha, CFR Cluj, Gruia","fundaș stânga, intervenție chirurgicală, vești, revină pe teren, anul viitor","Simao Rocha (24 de ani), fundașul stânga al celor de la CFR Cluj, a suferit o intervenție chirurgicală marți seara, iar veștile venite dinspre Gruia nu sunt bune în privința acestuia, care este așteptat să revină pe teren abia la începutul anului viitor."
"CS Tunari, Bogdan Pătrașcu, gruparea ilfoveană","antrenor, tehnicianul, dat afară, rezultate modeste, etape","Divizionara secundă CS Tunari are un nou antrenor! Bogdan Pătrașcu (46 de ani), tehnicianul care a pregătit echipa la startul noului sezon, a fost dat afară, după rezultatele modeste înregistrate în primele etape. Anunțul a fost făcut oficial de gruparea ilfoveană."
"FC Argeș, Mioveni, Pitești, Trivale, Cseke Attila","stadion nou, teren propriu, lucrări, ministrul Dezvoltării, viitorul apropiat","FC Argeș, echipă care evoluează momentan pe teren propriu la Mioveni, va avea un nou stadion la Pitești. Deși în ultima perioadă au existat tot felul de zvonuri privind demararea lucrărilor la arena din Trivale, Cseke Attila, ministrul Dezvoltării, Lucrărilor Publice și Administrației, a dat asigurări că totul va decurge conform planului, iar orașul va avea stadion nou în viitorul apropiat."
"Universitatea Craiova, Dinamo","bilete, comercializat, abonați, tichete, partida orgoliilor","S-au comercializat 8.000 de bilete la meciul Universitatea Craiova - Dinamo (vineri, ora 21:00), pe lângă cei 5.000 de abonați ai grupării. Roș-albii au primit 1.400 de tichete la partida orgoliilor"
"Mihai Stoica, FCSB, Go Ahead Eagles, Europa League","președinte, Consiliul Administrativ, anunț, meci, grupa unică","Mihai Stoica (60 de ani), președintele Consiliului Administrativ de la FCSB, a făcut un anunț înainte de meciul cu Go Ahead Eagles, primul din grupa unică din Europa League."
"FCSB","declin, absențe majore, statistici negative, motive","Motive clare pentru declinul FCSB: absențe majore, statistici negative."
"Lionel Messi, Inter Miami, New York City","goluri, pasă decisivă, contribuții, play-off, victorie","Starul argentinian Lionel Messi (38 de ani) a marcat din nou două goluri și a oferit o pasă decisivă, ajungând la 37 de contribuții (goluri și assist-uri) în acest sezon, iar Inter Miami și-a asigurat un loc în play-off după o victorie convingătoare cu 4-0 împotriva lui New York City."
"Marcel Răducanu, Alex Mitriță, echipa națională","mare internațional, surprins, decizie, retrage, creativi jucători","Fostul mare internațional Marcel Răducanu (70 de ani), considerat unul dintre cei mai creativi jucători din istoria fotbalului românesc, s-a declarat și el surprins de decizia lui Alex Mitriță de a se retrage de la echipa națională la doar 30 de ani."
"Sophie Rain, OnlyFans, Encore Beach Club, Las Vegas, Shaquille O'Neal, NBA, sportal.blic.rs","creatoare de conținut, ziua de naștere, sărbătorit, spectaculos, DJ set, legendă","Sophie Rain, cea mai bine plătită creatoare de conținut pentru adulți (OnlyFans), a împlinit recent 21 de ani și și-a sărbătorit ziua de naștere într-un cadru spectaculos, la faimosul „Encore Beach Club”, unul dintre cele mai cunoscute cluburi de zi și piscine de lux din Las Vegas. Atmosfera a fost întreținută de un DJ set special angajat de Shaquille O’Neal, legenda din NBA, potrivit sportal.blic.rs."
"Liga Profesionistă de Fotbal, LPF, Superliga, Dinamo, Rapid","programul, etapa 13, derby, duminică, octombrie","Liga Profesionistă de Fotbal (LPF) a anunțat programul etapei 13 din Superliga. Dinamo - Rapid, derby-ul rundei, va avea loc duminică, 19 octombrie, de la ora 20:30."
"Marius Mărgărit, Gazeta, Rapid, Hermannstadt","scrie, eșec, contra, despre","Marius Mărgărit scrie în Gazeta despre eșecul Rapidului contra celor de la Hermannstadt"
"sportivi austrieci, Uniunea Europeană","regulamente antidopaj, încălcat, identificarea, contradicție, legislația, viața personală","Totul a pornit de la cazul a patru sportivi austrieci care au încălcat regulamentele antidopaj. Unele voci spun că identificarea lor, cu nume și prenume, ar fi în contradicție cu legislația Uniunii Europene legată de viața personală."
"Carlos Mora, Europa, Grecia, Italia, Franța","monitorizat, formații, mercato, milioane, costarican, fotbalist, recomandat","Carlos Mora, 24 de ani, este monitorizat de diverse formații din Europa, dar oltenii n-au vrut să se despartă de el în mercato de vară, refuzând peste două milioane de euro din Grecia pentru costarican. Juveții ar vrea să obțină peste 3 milioane de euro pe fotbalistul ce a fost recomandat în Italia și în Franța"
"Alysa Liu, Milano, Jocurile Olimpice","campioană mondială, patinaj artistic, renunță, program scurt, anchetă, muzică, exercițiu","Alysa Liu, 20 de ani, campioană mondială la patinaj artistic, a anunțat că renunță la programul său scurt pentru Jocurile Olimpice de la Milano, din cauza anchetei care-l are în centru pe unul dintre artiștii care interpretează muzica pe care americanca și-a construit exercițiul pentru sezonul viitor."
"Narcis Drejan, GSP, Walter Zenga, Cristi Chivu","scrie, polemică, iscată, jurul","Narcis Drejan scrie în GSP despre polemica iscată în jurul lui Walter Zenga și Cristi Chivu."
"Ionuț Panțîru, FCSB, CS Tunari","fundaș stânga, semnat, divizionara secundă, stagiune, locul 16","Ionuț Panțîru (29 de ani), fundașul stânga care a evoluat până la începutul acestui an la FCSB, a semnat joi cu divizionara secundă CS Tunari, locul 16 la startul acestei stagiuni."
"Justin Ștefan, Liga Profesionistă de Fotbal, GSP, Alexandru Barbu, Raul Rusescu","secretar general, invitat, podcast, ediție, format","Justin Ștefan, secretarul general al Ligii Profesioniste de Fotbal, e invitatul ediției #25 a podcastului GSP „2 la 1”, format realizat de Alexandru Barbu și Raul Rusescu."
"Julia Simon, Franța, biatlon","campioană, justiție, acuzată, furt, fraudă, carduri bancare, audiere","Julia Simon (Franța, 28 de anii), de zece ori campioană a lumii la biatlon, va compărea în fața justiției, fiind acuzată de furt și fraudă de pe carduri bancare. Prinma sa audiere este programată pentru 24 octombrie."
"Kevin Brobbey, Luckassen, Gloria Buzău, UTA Arad, Rapid, Sepsi, Viitorul, Poli Iași, GSP, FCSB, Europa League, Go Ahead Eagles","marcator, olandez, goluri, campioană, partidă inaugurală, grupa unică","Kevin Brobbey, 32 de ani, cunoscut în fotbalul românesc sub numele de Luckassen, cel mai bun marcator olandez din istoria Superligii, cu 19 goluri înscrise pentru Gloria Buzău, UTA Arad, Rapid, Sepsi, Viitorul și Poli Iași, a prefațat pentru GSP partida inaugurală a campioanei FCSB în grupa unică din Europa League, contra celor de la Go Ahead Eagles."
"Atilla Hadnagy, Sepsi, Denis Haruț, Dinamo","director sportiv, transfer ratat, vorbit, 26 de ani","Atilla Hadnagy, directorul sportiv al celor de la Sepsi, a vorbit despre transferul ratat al lui Denis Haruț (26 de ani) la Dinamo."
"PAOK, Răzvan Lucescu, Maccabi Tel Aviv, Europa League","echipă, pregătită, prima etapă, grupa unică, egalitate","PAOK, echipă pregătită de Răzvan Lucescu, și Maccabi Tel Aviv au făcut 0-0 în prima etapă din grupa unică a Europa League."
"Legia Varșovia, Edi Iordănescu, Jagiellonia, Ekstraklasa","echipă, pregătită, egalitate, clasament, locul 7","Legia Varșovia, echipă pregătită de Edi Iordănescu, a terminat la egalitate, 0-0, cu Jagiellonia și se află pe locul 7 în clasamentul Ekstraklasa."
"Mihai Mironică, Gazeta, Rapid, Alex Dobre","scrie, eșec, curaj, suporteri, înfrunta","Mihai Mironică scrie în Gazeta despre eșecul Rapidului și curajul lui Alex Dobre de a înfrunta suporterii"
"Baba Alhassan, FCSB, Go Ahead Eagles, Europa League","mijlocaș, prefațat, meci, grupă, rundă","Baba Alhassan (25 de ani), mijlocașul celor de la FCSB, a prefațat meciul cu Go Ahead Eagles, care se va juca de la 19:45, în prima rundă a grupei din Europa League."
"Ovidiu Herea, Rapid, FCSB, Go Ahead Eagles","fostul mijlocaș, meciul, titulari, îngrijorat, 19:45","Ovidiu Herea (40 de ani), fostul mijlocaș de la Rapid, a văzut cum va juca FCSB în meciul cu Go Ahead Eagles, care se va juca de la 19:45, și este îngrijorat cu privire la unul dintre titulari."
"Andreea Ana, Mondialele de lupte, Croația, Mangalia, Marian Oancea, Olimpiada de la Los Angeles 2028","medalia de bronz, seniori, titluri continentale, antrenor, sportivă, podium","Andreea Ana, 24 ani, a obținut zilele trecute medalia de bronz la Mondialele de lupte, seniori, în Croația. Pe CV-ul ei mai există trei titluri continentale. Primul său antrenor de la Mangalia, Marian Oancea, spune povestea emoționantă a unei sportive care vizează un loc pe podium la Olimpiada de la Los Angeles 2028"
"FCSB, România, Europa League, Go Ahead Eagles, GSP.ro","campioana, debutează, grupă unică, deplasare, meci, liveTEXT","FCSB, campioana României, debutează la mijlocul acestei săptămâni în grupa unică din Europa League, în deplasare, pe terenul celor de la Go Ahead Eagles. Meciul de joi seara, 25 septembrie, este programat de la ora 19:45 și va putea fi urmărit în format liveTEXT pe GSP.ro."
"FCSB, Europa League, România","debutează, grupa principală, formă bună, campioana, optimi, șanse minime, roș-albaștri, competiție, specialiști, Capitală","FCSB debutează în această seară în grupa principală din Europa League și, în ciuda formei foarte bune arătate stagiunea precedentă, când campioana României s-a oprit în faza optimilor, șansele roș-albaștrilor de a continua în competiție sunt minime la startul actualei ediții. Specialiștii au făcut calculele, iar veștile nu sunt deloc bune pentru formația din Capitală."
"Daniel Pancu, Răzvan Burleanu, FRF, Mihai Stoichiță, Mircea Lucescu","selecționer, națională de tineret, relație, mandat, președinte, director tehnic, prima echipă","Daniel Pancu (48 de ani), fostul selecționer al naționalei de tineret, a spus ce relație a avut în mandatul său cu Răzvan Burleanu (președintele FRF), Mihai Stoichiță (directorul tehnic) și Mircea Lucescu (selecționerul primei echipe)."
"Liviu Ganea, Dinamo, Mircea Lucescu, Cătălin Cîrjan, Arsenal, echipa națională","fostul atacant, selecționer, convocare, căpitanul, mijlocaș, prima convocare","Liviu Ganea (37 de ani), fostul atacant al lui Dinamo, îi cere selecționerului Mircea Lucescu (80 de ani) să-l convoace la echipa națională pe Cătălin Cîrjan (22 de ani), căpitanul „câinilor”. Ar fi prima convocare pentru mijlocașul crescut de Arsenal."
"Carlo Ancelotti, Liga Campionilor, Visul. Cum să câștigi Liga Campionilor","biografie, episoade, dureroase, cariera, antrenor","În noua sa biografie, „Visul. Cum să câștigi Liga Campionilor”, Carlo Ancelotti povestește două episoade dureroase din cariera sa de antrenor."
"Kairat Almaty, Real Madrid, Liga Campionilor, sportal.bg","bilete, epuizat, patru ore, club kazah, fani, asalt","Biletele pentru meciul din Liga Campionilor dintre Kairat Almaty și Real Madrid s-au epuizat în doar patru ore, a anunțat serviciul de presă al clubului kazah, citat de sportal.bg. Tichetele au fost comercializate ieri, iar fanii le-au luat cu asalt."
"Denis Alibec, FCSB, Go Ahead Eagles","atacant, conferință de presă, meci, premergătoare, 19:45","Denis Alibec (34 de ani), atacantul celor de la FCSB, a fost prezent la conferința de presă premergătoare meciului cu Go Ahead Eagles, care se va juca de la 19:45."
"Dinamo, Superligă","echipe, formația, adversari, șuturi, poartă, medie","Dintre toate echipele din Superligă, Dinamo este formația care permite adversarilor cele mai puține șuturi spre poarta proprie: doar 8,72 pe meci, în medie."
"Delonte West, Boston, Cleveland, Dallas","baschetbalist, echipament, filmare, rețelele de socializare, dezorientat, cerșind","Delonte West, fostul baschetbalist care a purtat echipamentul echipelor Boston, Cleveland și Dallas, a apărut într-o filmare pe rețelele de socializare în care e dezorientat, semidezbrăcat, stând lângă o mașină și cerșind de la trecători."
"Florentin Pera, echipa națională de handbal feminin, Campionatul Mondial","veste șoc, selecționer, demisionat, funcție, participare","Veste șoc la echipa națională de handbal feminin cu mai puțin de două luni înainte de participarea la Campionatul Mondial din 2026! Selecționerul primei reprezentative, Florentin Pera (45 de ani), a demisionat din funcție."
"Zeljko Kopic, Dinamo, Universitatea Craiova, Ion Oblemenco","antrenor, conferință de presă, derby, deplasare, programată","Zeljko Kopic (48 de ani), antrenorul lui Dinamo, a susținut conferința de presă premergătoare derby-ului din deplasare cu Universitatea Craiova. Partida a fost programată vineri, 26 septembrie, de la 21:00, pe „Ion Oblemenco”."
"Iosif Rotariu, FCSB","mijlocaș, răspuns surprinzător, titlu, sezon, bate","Fostul mare mijlocaș Iosif Rotariu (62 de ani) a oferit un răspuns surprinzător în momentul în care a fost întrebat dacă cei de la FCSB se vor bate la titlu în acest sezon."
"Dinamo, Ionuț Lupescu, CS Dinamo, Ștefan cel Mare","vești proaste, stadion nou, construire, lucrări, amânări","Vești proaste pentru Dinamo, în ceea ce privește construirea noului stadion din șoseaua „Ștefan cel Mare”. Deși actele pentru construirea arenei au fost semnate, lucrările nu au început, iar Ionuț Lupescu (56 de ani), care activează în prezent la CS Dinamo, a anunțat noi amânări."
"FCSB, Go Ahead Eagles","bilete, suporteri români, meci, vândute, 19:45","FCSB a anunțat că toate biletele destinate suporterilor români pentru meciul cu Go Ahead Eagles, care se va juca de la 19:45, au fost vândute."
"Raul Rusescu, Gazetă, Superliga","scrie, concluzii, primele, etape","Raul Rusescu scrie în Gazetă concluzii după primele 10 etape din Superliga"
"Uli Hoeness, Bayern, Karl-Heinz Rummenigge, Inter","președinte de onoare, vorbit, momentul, clubul, vândut","Președintele de onoare al lui Bayern, Uli Hoeness, a vorbit despre momentul în care clubul l-a vândut pe Karl-Heinz Rummenigge lui Inter."
"România, Ungaria, Campionatul European","futsal masculin, tricolori, baraj, întreruptă, incidente, tribune, manșa retur","La scorul de 1-0 pentru „tricolori”, în minutul șase, partida de futsal masculin România-Ungaria, manșa retur a barajului pentru Campionatul European, a fost întreruptă miercuri seară din cauza incidentelor din tribune."
"Narcis Drejan, Gazeta, Alex Mitriță, naționala României","scrie, retragere, naționala, despre","Narcis Drejan scrie în Gazeta despre retragerea lui Alex Mitriță de la naționala României"
"Gruparea de Jandarmi Mobilă Craiova, România, Ungaria, Sala Polivalentă din Bănie, Campionatul European","precizări, incidente, futsal, tricolorii, calificare, pierdut","Gruparea de Jandarmi Mobilă Craiova a venit cu precizări după incidentele de la meciul de futsal România - Ungaria 2-2, desfășurat în Sala Polivalentă din Bănie, prin care „tricolorii” au pierdut calificarea la Campionatul European din 2026."
"Vladislav Blănuță, Dinamo Kiev, FCU Craiova","liniște, semnat, fanii ucraineni, mesaje pro-ruse, atacant, impresarul, angajament","Vladislav Blănuță (23 de ani) nu a avut parte de liniște de când a semnat cu Dinamo Kiev, după ce fanii urcaineni au descoperit mesajele pro-ruse ale acestuia, iar zilele atacantului la noua lui echipă par numărate. În acest moment, impresarul jucătorului de la FCU Craiova a început să îi caute un nou angajament."
"România, Campionatele Mondiale de Canotaj, Shanghai, China, Simona Radiș, Magdalena Rusu, Florin Lehaci, Florin Arteni","show, aurul, dublu rame feminin, argintul, dublu rame masculin, cucerit","România face show la Campionatele Mondiale de Canotaj din Shanghai, China, iar după ce Simona Radiș (26 de ani) și Magdalena Rusu (25) au luat aurul la dublu rame feminin, Florin Lehaci (26) și Florin Arteni (24) au cucerit argintul la dublu rame masculin."
"Universitatea Craiova, UEFA Europa Conference League, Oltenia","pregătește, intens, primul meci, faza principală, fierbe","Universitatea Craiova se pregătește intens de primul meci din faza principală a UEFA Europa Conference League, iar Oltenia fierbe deja."
"Gazzetta dello Sport, Cristian Chivu, Inter Milano","anunț, viitor, bancă, antrenor român, redreseze, corabia","Gazzetta dello Sport a făcut marele anunț despre viitorul lui Cristian Chivu pe banca lui Inter Milano. Jurnaliștii italieni sunt de părere că antrenorul român a reușit să redreseze ""corabia""."
"FCSB, UEFA Europa League, Instagram","debut, competiție, republicat, goluri, bucureșteni","Cu doar câteva ore înainte de debutul celor de la FCSB în UEFA Europa League, contul oficial de Instagram al competiției a republicat unul din golurile bucureștenilor."
"Marcell Alasztics, Ungaria, România, Bănie","erou, replică, dură, împotriva","Marcell Alasztics, eroul Ungariei din Bănie, replică dură împotriva României"
"Jean Vlădoiu, Cristian Sava, Ianis Zicu, Andrei Prepeliță, Școala de Antrenori, Comisia de Disciplină","reclamați, disciplină, antrenori, comisie","Jean Vlădoiu, Cristian Sava, Ianis Zicu, Andrei Prepeliță au fost reclamați de către Școala de Antrenori la Comisia de Disciplină."
"Sandra Iszbașa, Marius Urzică, Power Couple","bătălia, intră","Sandra Iszbașa și Marius Urzică intră în bătălia Power Couple"
"Claudiu Tudor, Petrolul","președinte, criticat, fani, echipa ploieșteană, rezultate slabe","Președintele Petrolului, Claudiu Tudor, este criticat în ultima perioadă de o parte a fanilor echipei ploieștene, din cauza rezultatelor slabe"
"Mirel Rădoi, Universitatea Craiova, Dinamo București, Polonia, Rakow, UEFA Conference League","decizie radicală, derby, antrenor, regulă, încălca, deplasare, meci","Mirel Rădoi a luat o decizie radicală la Universitatea Craiova, pentru care urmează derby-ul cu Dinamo București. Antrenorul a declarat că a stabilit o nouă regulă, iar cei ce o vor încălca, indiferent de nume, nu vor face deplasarea în Polonia, pentru meciul cu Rakow, din UEFA Conference League."
"România, Campionatele Mondiale de Canotaj, Shanghai, Simona Radiș, Magdalena Rusu","aur, neoprit, impus, finală, fără drept de apel","România a luat aur la Campionatele Mondiale de Canotaj din Shanghai! Simona Radiș și Magdalena Rusu au fost de neoprit și s-au impus fără drept de apel în finală."
"Dinamo","transferuri, candidată, titlu, transforma","Transferurile care ar transforma-o pe Dinamo într-o candidată serioasă la titlu"
"Florin Tănase, Mihai Stoica, FRF","amendați, atacuri, fluierași, adresa","Florin Tănase și Mihai Stoica, amendați de FRF după atacurile la adresa „fluierașilor”"
"Andrei Cristea, SC Popești Leordeni, Concordia Chiajna, Liga 3","despărțit, echipă ilfoveană, preia, 41 de ani","Andrei Cristea (41 de ani) s-a despărțit de SC Popești Leordeni, echipă ilfoveană din Liga 3, și preia Concordia Chiajna, echipă tot din"
"Naționala de handbal feminin a României, Constantin Din, Florentin Pera, Campionatul Mondial","selecționer, rămas fără, revenire, speră, înaintea","Naționala de handbal feminin a României ar fi rămas fără selecționer chiar înaintea Campionatului Mondial, dar Constantin Din mai speră într-o revenire a lui Florentin Pera."
"Ionuț Lupescu, Clubul Sportiv Dinamo, Dan Șucu","internațional român, președinte de onoare, ofertă, transmis public, accepte","Ionuț Lupescu (56 de ani), fost mare internațional român care ocupă funcția de președinte de onoare la Clubul Sportiv Dinamo, a transmis public și cât se poate de direct că este gata să accepte o eventuală ofertă de la Dan Șucu (62)."
"Teodora Stoica, Start Pet, PrimaSport","prezenta, emisiunea, sport","Teodora Stoica va prezenta emisiunea „Start Pet” de la PrimaSport"
"Dinamo București, FCSB, fotbalist","transfer, campania de mercato, verii, roș-albastre, comanda","Dinamo București a fost la un pas de a mai transfera un fost fotbalist de la FCSB în campania de mercato a verii, care a petrecut 3 ani sub comanda formației „roș-albastre”."
