"summary","entities","keywords"
"Atacantul român Ioan Vermeșan (18 ani) a debutat miercuri seara pentru Verona, formație aflată în Serie A. Echipa acestuia a întâlnit-o pe Venezia în șaisprezecimile de finală ale Cupei Italiei și a pierdut la loviturile de departajare, după ce tabela indica 0-0 la finalul celor 90 de minute.","Ioan Vermeșan,Verona,Serie A,Venezia,Cupa Italiei","atacant,debut,echipa,șaisprezecimile de finală,pierdut,loviturile de departajare,0-0,90 de minute"
"Rapid traversează un start de sezon bun, iar optimismul din Giulești se simte și în discursul oficialilor. Invitat la emisiunea „Prietenii lui Ovidiu”, Victor Angelescu, acționar minoritar al clubului, a vorbit deschis despre șansele Rapidului la titlu, dar și despre situația rivalelor din Superligă.","Rapid,Giulești,Prietenii lui Ovidiu,Victor Angelescu,Superligă","start de sezon bun,optimism,discurs oficial,acționar minoritar,șanse la titlu,rivală"
"Barcelona planifică deja transferurile pentru sezonul viitor. Iar primul jucător vizat este un fundaș central.","Barcelona","planifică,transferurile,sezonul viitor,primul jucător vizat,fundaș central"
"Jose Mourinho a semnat un contract pe doi ani cu Benfica Lisabona, după ce a fost pus pe liber de Fenerbahce.","Jose Mourinho,Benfica Lisabona,Fenerbahce","semnat,contract,doi ani,pus pe liber"
"Grupa unică din Europa League începe astăzi, cu primele 9 meciuri. Primele două încep la 19:45, iar celelalte sunt programate de la 22:00. Toate vor fi liveTEXT pe GSP.ro.","Europa League,GSP.ro","Grupa unică,meciuri,liveTEXT"
"Magdalena Rusu și Simona Radiș au devenit campioane mondiale la dublu rame în cadrul întrecerilor de la Shanghai, o victorie în spatele căreia s-a aflat o situație medicală dură pentru una dintre protagoniste. Florin Arteni și Florin Lehaci au cucerit un argint meritat.","Magdalena Rusu,Simona Radiș,Shanghai,Florin Arteni,Florin Lehaci","campioane mondiale,dublu rame,întreceri,victorie,situație medicală,argint meritat"
"Fundașul central Sergio Ramos (39 de ani) a încercat să înscrie din „scăriță” din penalty în meciul dintre Toluca și Monterrey, pierdut de echipa lui cu scorul de 2-6. Partida s-a jucat joi dimineață, în etapa a 10-a a primei ligi Mexicane.","Sergio Ramos,Toluca,Monterrey,prima ligi Mexicane","Fundașul central,încercat,înscrie,scăriță,penalty,meciul,pierdut,echipa,scorul,Partida,jucat,etapa"
"Răzvan Oaidă (27 de ani), mijlocașul celor de la Universitatea Cluj, a încheiat aventura la gruparea ardeleană, cu care mai avea contract până în vara anului viitor. Cazul acestuia a ajuns pe masa celor de la Camera Națională pentru Soluționarea Litigiilor din cadrul FRF.","Răzvan Oaidă,Universitatea Cluj,gruparea ardeleană,Camera Națională pentru Soluționarea Litigiilor,FRF","mijlocașul,încheiat aventura,contract,cazul,ajuns,masa,soluționarea,litigiilor"
"Andrei Niculescu scrie în Gazeta despre Ousmane Dembele, câștigătorul Balonului de Aur","Andrei Niculescu,Gazeta,Ousmane Dembele,Balonului de Aur","scrie,câștigătorul"
"Debutul lui Carlos Alcaraz (22 de ani) la turneul ATP de la Tokyo ar fi trebuit să fie un motiv de sărbătoare pentru campionul de la US Open, dar totul se pute transforma într-un coșmar. Tenismenul spaniol și-a sucit glezna sub ochii a mii de fani, iar spaima a fost mare în jurul numărului 1 mondial.","Carlos Alcaraz,ATP,Tokyo,US Open,Tenismenul spaniol,numărului 1 mondial","debut,turneu,sărbătoare,campion,transforma,coșmar,sucit glezna,fani,spaima"
"Adrian Mazilu (20 de ani) reprezintă ultimul transfer făcut de Dinamo în această perioadă de mercato. „Câinii” le-au achitat celor de la Brighton aproximativ 450.000 de euro. Mijlocașul dreapta se antrenează separat în acest moment, urmează să intre peste câteva săptămâni în programul echipei.","Adrian Mazilu,Dinamo,Brighton","transfer,mercato,achitat,euro,Mijlocașul dreapta,antrenează,separat,programul echipei"
"Simao Rocha (24 de ani), fundașul stânga al celor de la CFR Cluj, a suferit o intervenție chirurgicală marți seara, iar veștile venite dinspre Gruia nu sunt bune în privința acestuia, care este așteptat să revină pe teren abia la începutul anului viitor.","Simao Rocha,CFR Cluj,Gruia","fundașul stânga,intervenție chirurgicală,veștile,revină pe teren,anului viitor"
"Divizionara secundă CS Tunari are un nou antrenor! Bogdan Pătrașcu (46 de ani), tehnicianul care a pregătit echipa la startul noului sezon, a fost dat afară, după rezultatele modeste înregistrate în primele etape. Anunțul a fost făcut oficial de gruparea ilfoveană.","Divizionara secundă CS Tunari,Bogdan Pătrașcu,gruparea ilfoveană","nou antrenor,pregătit echipa,startul noului sezon,dat afară,rezultatele modeste,primele etape,anunț oficial"
"FC Argeș, echipă care evoluează momentan pe teren propriu la Mioveni, va avea un nou stadion la Pitești. Deși în ultima perioadă au existat tot felul de zvonuri privind demararea lucrărilor la arena din Trivale, Cseke Attila, ministrul Dezvoltării, Lucrărilor Publice și Administrației, a dat asigurări că totul va decurge conform planului, iar orașul va avea stadion nou în viitorul apropiat.","FC Argeș,Mioveni,Pitești,Trivale,Cseke Attila,Ministrul Dezvoltării, Lucrărilor Publice și Administrației","echipă,evoluează,teren propriu,nou stadion,zvonuri,demararea lucrărilor,arena,asigurări,plan,oraș,stadion nou,viitorul apropiat"
"S-au comercializat 8.000 de bilete la meciul Universitatea Craiova - Dinamo (vineri, ora 21:00), pe lângă cei 5.000 de abonați ai grupării. Roș-albii au primit 1.400 de tichete la partida orgoliilor","Universitatea Craiova,Dinamo,Roș-albii","bilete,meciul,abonați,grupării,tichete,partida,orgoliilor"
"Mihai Stoica (60 de ani), președintele Consiliului Administrativ de la FCSB, a făcut un anunț înainte de meciul cu Go Ahead Eagles, primul din grupa unică din Europa League.","Mihai Stoica,Consiliului Administrativ,FCSB,Go Ahead Eagles,Europa League","președinte,anunț,meciul,primul,grupa unică"
"Motive clare pentru declinul FCSB: absențe majore, statistici negative.","FCSB","declin,absențe majore,statistici negative"
"Starul argentinian Lionel Messi (38 de ani) a marcat din nou două goluri și a oferit o pasă decisivă, ajungând la 37 de contribuții (goluri și assist-uri) în acest sezon, iar Inter Miami și-a asigurat un loc în play-off după o victorie convingătoare cu 4-0 împotriva lui New York City.","Starul argentinian,Lionel Messi,Inter Miami,New York City","marcat,două goluri,pasă decisivă,37 de contribuții,sezon,asigurat,loc,play-off,victorie,convingătoare,4-0"
"Fostul mare internațional Marcel Răducanu (70 de ani), considerat unul dintre cei mai creativi jucători din istoria fotbalului românesc, s-a declarat și el surprins de decizia lui Alex Mitriță de a se retrage de la echipa națională la doar 30 de ani.","Marcel Răducanu,Alex Mitriță,echipa națională,fotbalului românesc","fostul mare internațional,creativi jucători,istoria,surprins,decizia,retrage"
"Sophie Rain, cea mai bine plătită creatoare de conținut pentru adulți (OnlyFans), a împlinit recent 21 de ani și și-a sărbătorit ziua de naștere într-un cadru spectaculos, la faimosul „Encore Beach Club”, unul dintre cele mai cunoscute cluburi de zi și piscine de lux din Las Vegas. Atmosfera a fost întreținută de un DJ set special angajat de Shaquille O’Neal, legenda din NBA, potrivit sportal.blic.rs.","Sophie Rain,OnlyFans,Encore Beach Club,Las Vegas,DJ,Shaquille O’Neal,NBA,sportal.blic.rs","creatoare de conținut pentru adulți,zi de naștere,cadru spectaculos,cluburi de zi,piscine de lux,Atmosfera,set special,legenda"
"Liga Profesionistă de Fotbal (LPF) a anunțat programul etapei 13 din Superliga. Dinamo - Rapid, derby-ul rundei, va avea loc duminică, 19 octombrie, de la ora 20:30.","Liga Profesionistă de Fotbal,Superliga,Dinamo,Rapid","program,etapă,derby,rundă,loc"
"Marius Mărgărit scrie în Gazeta despre eșecul Rapidului contra celor de la Hermannstadt","Marius Mărgărit,Gazeta,Rapidului,Hermannstadt","scrie,eșecul,contra"
"Totul a pornit de la cazul a patru sportivi austrieci care au încălcat regulamentele antidopaj. Unele voci spun că identificarea lor, cu nume și prenume, ar fi în contradicție cu legislația Uniunii Europene legată de viața personală.","sportivi austrieci,Uniunii Europene","cazul,încălcat,regulamentele antidopaj,identificarea,contradicție,legislația,viața personală"
"Carlos Mora, 24 de ani, este monitorizat de diverse formații din Europa, dar oltenii n-au vrut să se despartă de el în mercato de vară, refuzând peste două milioane de euro din Grecia pentru costarican. Juveții ar vrea să obțină peste 3 milioane de euro pe fotbalistul ce a fost recomandat în Italia și în Franța","Carlos Mora,Europa,Grecia,costarican,Juveții,Italia,Franța","monitorizat,formații,oltenii,mercato de vară,refuzând,milioane de euro,fotbalistul,recomandat"
"Alysa Liu, 20 de ani, campioană mondială la patinaj artistic, a anunțat că renunță la programul său scurt pentru Jocurile Olimpice de la Milano, din cauza anchetei care-l are în centru pe unul dintre artiștii care interpretează muzica pe care americanca și-a construit exercițiul pentru sezonul viitor.","Alysa Liu,Jocurile Olimpice de la Milano,artiștii,americanca","campionă mondială,patinaj artistic,renunță,programul scurt,anchetă,interpretează,muzica,exercițiul,sezonul viitor"
"Narcis Drejan scrie în GSP despre polemica iscată în jurul lui Walter Zenga și Cristi Chivu.","Narcis Drejan,GSP,Walter Zenga,Cristi Chivu","polemica,jurul"
"Ionuț Panțîru (29 de ani), fundașul stânga care a evoluat până la începutul acestui an la FCSB, a semnat joi cu divizionara secundă CS Tunari, locul 16 la startul acestei stagiuni.","Ionuț Panțîru,FCSB,CS Tunari","fundașul stânga,evoluat,semnat,divizionara secundă,locul 16,startul,stagiuni"
"Justin Ștefan, secretarul general al Ligii Profesioniste de Fotbal, e invitatul ediției #25 a podcastului GSP „2 la 1”, format realizat de Alexandru Barbu și Raul Rusescu.","Justin Ștefan,Ligii Profesioniste de Fotbal,GSP,2 la 1,Alexandru Barbu,Raul Rusescu","secretarul general,invitat,ediției,podcastului,format realizat"
"Julia Simon (Franța, 28 de anii), de zece ori campioană a lumii la biatlon, va compărea în fața justiției, fiind acuzată de furt și fraudă de pe carduri bancare. Prinma sa audiere este programată pentru 24 octombrie.","Julia Simon,Franța,lumii,biatlon,justiției,carduri bancare,24 octombrie","campioană,compară,acuzată,furt,fraudă,audiere,programată"
"Kevin Brobbey, 32 de ani, cunoscut în fotbalul românesc sub numele de Luckassen, cel mai bun marcator olandez din istoria Superligii, cu 19 goluri înscrise pentru Gloria Buzău, UTA Arad, Rapid, Sepsi, Viitorul și Poli Iași, a prefațat pentru GSP partida inaugurală a campioanei FCSB în grupa unică din Europa League, contra celor de la Go Ahead Eagles.","Kevin Brobbey,Luckassen,Superligii,Gloria Buzău,UTA Arad,Rapid,Sepsi,Viitorul,Poli Iași,GSP,FCSB,Europa League,Go Ahead Eagles","fotbalul românesc,marcator olandez,goluri înscrise,partida inaugurală,campiona,grupa unică"
"Atilla Hadnagy, directorul sportiv al celor de la Sepsi, a vorbit despre transferul ratat al lui Denis Haruț (26 de ani) la Dinamo.","Atilla Hadnagy,Sepsi,Denis Haruț,Dinamo","directorul sportiv,transfer,ratat"
"PAOK, echipă pregătită de Răzvan Lucescu, și Maccabi Tel Aviv au făcut 0-0 în prima etapă din grupa unică a Europa League.","PAOK,Răzvan Lucescu,Maccabi Tel Aviv,Europa League","echipă pregătită,prima etapă,grupa unică,0-0"
"Legia Varșovia, echipă pregătită de Edi Iordănescu, a terminat la egalitate, 0-0, cu Jagiellonia și se află pe locul 7 în clasamentul Ekstraklasa.","Legia Varșovia,Edi Iordănescu,Jagiellonia,Ekstraklasa","echipă,pregătită,a terminat,egalitate,clasaament,locul 7"
"Mihai Mironică scrie în Gazeta despre eșecul Rapidului și curajul lui Alex Dobre de a înfrunta suporterii","Mihai Mironică,Gazeta,Rapidului,Alex Dobre","scrie,eșecul,curajul,a înfrunta,suporterii"
"Baba Alhassan (25 de ani), mijlocașul celor de la FCSB, a prefațat meciul cu Go Ahead Eagles, care se va juca de la 19:45, în prima rundă a grupei din Europa League.","Baba Alhassan,FCSB,Go Ahead Eagles,Europa League","mijlocaș,meci,prima rundă,grupa"
"Ovidiu Herea (40 de ani), fostul mijlocaș de la Rapid, a văzut cum va juca FCSB în meciul cu Go Ahead Eagles, care se va juca de la 19:45, și este îngrijorat cu privire la unul dintre titulari.","Ovidiu Herea,Rapid,FCSB,Go Ahead Eagles","mijlocaș,meci,titulari,îngrijorat"
"Andreea Ana, 24 ani, a obținut zilele trecute medalia de bronz la Mondialele de lupte, seniori, în Croația. Pe CV-ul ei mai există trei titluri continentale. Primul său antrenor de la Mangalia, Marian Oancea, spune povestea emoționantă a unei sportive care vizează un loc pe podium la Olimpiada de la Los Angeles 2028","Andreea Ana,Mondialele de lupte,Croația,Mangalia,Marian Oancea,Olimpiada de la Los Angeles 2028","medalia de bronz,seniori,trei titluri continentale,antrenor,povestea emoționantă,sportive,vizează,loc pe podium"
"FCSB, campioana României, debutează la mijlocul acestei săptămâni în grupa unică din Europa League, în deplasare, pe terenul celor de la Go Ahead Eagles. Meciul de joi seara, 25 septembrie, este programat de la ora 19:45 și va putea fi urmărit în format liveTEXT pe GSP.ro.","FCSB,România,Europa League,Go Ahead Eagles,GSP.ro","campioana,debutează,grupa unică,deplasare,terenul,meciul,programat,liveTEXT"
"FCSB debutează în această seară în grupa principală din Europa League și, în ciuda formei foarte bune arătate stagiunea precedentă, când campioana României s-a oprit în faza optimilor, șansele roș-albaștrilor de a continua în competiție sunt minime la startul actualei ediții. Specialiștii au făcut calculele, iar veștile nu sunt deloc bune pentru formația din Capitală.","FCSB,Europa League,României,Capitală","debutează,grupa principală,formă foarte bună,stagiunea precedentă,campioana,optimilor,șanse minime,startul,ediții,specialiștii,calculele,veștile,formația"
"Daniel Pancu (48 de ani), fostul selecționer al naționalei de tineret, a spus ce relație a avut în mandatul său cu Răzvan Burleanu (președintele FRF), Mihai Stoichiță (directorul tehnic) și Mircea Lucescu (selecționerul primei echipe).","Daniel Pancu,naționalei de tineret,Răzvan Burleanu,FRF,Mihai Stoichiță,Mircea Lucescu,primei echipe","fostul selecționer,relație,mandatul,președintele,directorul tehnic,selecționerul"
"Liviu Ganea (37 de ani), fostul atacant al lui Dinamo, îi cere selecționerului Mircea Lucescu (80 de ani) să-l convoace la echipa națională pe Cătălin Cîrjan (22 de ani), căpitanul „câinilor”. Ar fi prima convocare pentru mijlocașul crescut de Arsenal.","Liviu Ganea,Dinamo,Mircea Lucescu,Cătălin Cîrjan,Arsenal,echipa națională","atacant,selecționer,convoace,căpitan,convocare,mijlocaș,crescut"
"În noua sa biografie, „Visul. Cum să câștigi Liga Campionilor”, Carlo Ancelotti povestește două episoade dureroase din cariera sa de antrenor.","Visul. Cum să câștigi Liga Campionilor,Carlo Ancelotti,Liga Campionilor","biografie,episoade dureroase,cariera,antrenor"
"Biletele pentru meciul din Liga Campionilor dintre Kairat Almaty și Real Madrid s-au epuizat în doar patru ore, a anunțat serviciul de presă al clubului kazah, citat de sportal.bg. Tichetele au fost comercializate ieri, iar fanii le-au luat cu asalt.","Biletele,Liga Campionilor,Kairat Almaty,Real Madrid,serviciul de presă,clubului kazah,sportal.bg","meciul,epuizat,patru ore,anunțat,comercializate,fanii,asalt"
"Denis Alibec (34 de ani), atacantul celor de la FCSB, a fost prezent la conferința de presă premergătoare meciului cu Go Ahead Eagles, care se va juca de la 19:45.","Denis Alibec,FCSB,Go Ahead Eagles","atacantul,prezent,conferința de presă,meciului,juca"
"Dintre toate echipele din Superligă, Dinamo este formația care permite adversarilor cele mai puține șuturi spre poarta proprie: doar 8,72 pe meci, în medie.","Superligă,Dinamo","echipe,formația,adversari,șuturi,poarta,meci,medie"
"Delonte West, fostul baschetbalist care a purtat echipamentul echipelor Boston, Cleveland și Dallas, a apărut într-o filmare pe rețelele de socializare în care e dezorientat, semidezbrăcat, stând lângă o mașină și cerșind de la trecători.","Delonte West,Boston,Cleveland,Dallas","fostul baschetbalist,echipamentul echipelor,filmare,rețelele de socializare,dezorientat,semidezbrăcat,stând lângă o mașină,cerșind de la trecători"
"Veste șoc la echipa națională de handbal feminin cu mai puțin de două luni înainte de participarea la Campionatul Mondial din 2026! Selecționerul primei reprezentative, Florentin Pera (45 de ani), a demisionat din funcție.","echipa națională de handbal feminin,Campionatul Mondial din 2026,Florentin Pera","Veste șoc,participare,Selecționer,demisionat,funcție"
"Zeljko Kopic (48 de ani), antrenorul lui Dinamo, a susținut conferința de presă premergătoare derby-ului din deplasare cu Universitatea Craiova. Partida a fost programată vineri, 26 septembrie, de la 21:00, pe „Ion Oblemenco”.","Zeljko Kopic,Dinamo,Universitatea Craiova,Ion Oblemenco","antrenor,conferința de presă,derby,deplasare,partida,programată"
"Fostul mare mijlocaș Iosif Rotariu (62 de ani) a oferit un răspuns surprinzător în momentul în care a fost întrebat dacă cei de la FCSB se vor bate la titlu în acest sezon.","Iosif Rotariu,FCSB","fostul mare mijlocaș,răspuns surprinzător,întrebat,băte la titlu,sezon"
"Vești proaste pentru Dinamo, în ceea ce privește construirea noului stadion din șoseaua „Ștefan cel Mare”. Deși actele pentru construirea arenei au fost semnate, lucrările nu au început, iar Ionuț Lupescu (56 de ani), care activează în prezent la CS Dinamo, a anunțat noi amânări.","Dinamo,șoseaua „Ștefan cel Mare”,Ionuț Lupescu,CS Dinamo","Vești proaste,construirea,noului stadion,actele,arena,lucrările,anunțat,nou,amânări"
"FCSB a anunțat că toate biletele destinate suporterilor români pentru meciul cu Go Ahead Eagles, care se va juca de la 19:45, au fost vândute.","FCSB,suporterilor români,Go Ahead Eagles","biletele,vândute,meciul"
"Raul Rusescu scrie în Gazetă concluzii după primele 10 etape din Superliga","Raul Rusescu,Gazetă,Superliga","concluzii,etape,scrie"
"Președintele de onoare al lui Bayern, Uli Hoeness, a vorbit despre momentul în care clubul l-a vândut pe Karl-Heinz Rummenigge lui Inter.","Președintele de onoare,Bayern,Uli Hoeness,Karl-Heinz Rummenigge,Inter","vândut,clubul,momentul,despre,vorbit"
"La scorul de 1-0 pentru „tricolori”, în minutul șase, partida de futsal masculin România-Ungaria, manșa retur a barajului pentru Campionatul European, a fost întreruptă miercuri seară din cauza incidentelor din tribune.","tricolori,partida de futsal masculin România-Ungaria,manșa retur a barajului pentru Campionatul European,incidentelor din tribune","scorul,1-0,minutul șase,fost întreruptă,miercuri seară"
"Narcis Drejan scrie în Gazeta despre retragerea lui Alex Mitriță de la naționala României","Narcis Drejan,Gazeta,Alex Mitriță,naționala României","scrie,retragerea"
"Gruparea de Jandarmi Mobilă Craiova a venit cu precizări după incidentele de la meciul de futsal România - Ungaria 2-2, desfășurat în Sala Polivalentă din Bănie, prin care „tricolorii” au pierdut calificarea la Campionatul European din 2026.","Gruparea de Jandarmi Mobilă Craiova,meciul de futsal România - Ungaria,Sala Polivalentă din Bănie,tricolorii,Campionatul European din 2026","incidentele,desfășurat,pierdut,calificarea"
"Vladislav Blănuță (23 de ani) nu a avut parte de liniște de când a semnat cu Dinamo Kiev, după ce fanii urcaineni au descoperit mesajele pro-ruse ale acestuia, iar zilele atacantului la noua lui echipă par numărate. În acest moment, impresarul jucătorului de la FCU Craiova a început să îi caute un nou angajament.","Vladislav Blănuță,Dinamo Kiev,FCU Craiova","atacant,fanii,mesajele pro-ruse,impresarul,nou angajament"
"România face show la Campionatele Mondiale de Canotaj din Shanghai, China, iar după ce Simona Radiș (26 de ani) și Magdalena Rusu (25) au luat aurul la dublu rame feminin, Florin Lehaci (26) și Florin Arteni (24) au cucerit argintul la dublu rame masculin.","România,Campionatele Mondiale de Canotaj,Shanghai,China,Simona Radiș,Magdalena Rusu,dublu rame feminin,Florin Lehaci,Florin Arteni,dublu rame masculin","show,aur,argint,cucerit"
"Universitatea Craiova se pregătește intens de primul meci din faza principală a UEFA Europa Conference League, iar Oltenia fierbe deja.","Universitatea Craiova,UEFA Europa Conference League,Oltenia","pregătește,meci,faza principală,fierbe"
"Gazzetta dello Sport a făcut marele anunț despre viitorul lui Cristian Chivu pe banca lui Inter Milano. Jurnaliștii italieni sunt de părere că antrenorul român a reușit să redreseze ""corabia"".","Gazzetta dello Sport,Cristian Chivu,Inter Milano","anunț,viitor,banca,jurnaliști italieni,antrenor român,redreseze,corabia"
"Cu doar câteva ore înainte de debutul celor de la FCSB în UEFA Europa League, contul oficial de Instagram al competiției a republicat unul din golurile bucureștenilor.","FCSB,UEFA Europa League,Instagram","debut,competiție,republicat,gol"
"Marcell Alasztics, eroul Ungariei din Bănie, replică dură împotriva României","Marcell Alasztics,Ungariei,Bănie,României","eroul,replică dură,împotriva"
"Jean Vlădoiu, Cristian Sava, Ianis Zicu, Andrei Prepeliță au fost reclamați de către Școala de Antrenori la Comisia de Disciplină.","Jean Vlădoiu,Cristian Sava,Ianis Zicu,Andrei Prepeliță,Școala de Antrenori,Comisia de Disciplină","reclamați,antrenori,disciplină"
"Sandra Iszbașa și Marius Urzică intră în bătălia Power Couple","Sandra Iszbașa,Marius Urzică,Power Couple","bătălia,intră"
"Președintele Petrolului, Claudiu Tudor, este criticat în ultima perioadă de o parte a fanilor echipei ploieștene, din cauza rezultatelor slabe","Președintele Petrolului,Claudiu Tudor,echipei ploieștene","criticat,fanilor,rezultatele slabe"
"Mirel Rădoi a luat o decizie radicală la Universitatea Craiova, pentru care urmează derby-ul cu Dinamo București. Antrenorul a declarat că a stabilit o nouă regulă, iar cei ce o vor încălca, indiferent de nume, nu vor face deplasarea în Polonia, pentru meciul cu Rakow, din UEFA Conference League.","Mirel Rădoi,Universitatea Craiova,Dinamo București,Polonia,Rakow,UEFA Conference League","decizie,radicală,derby,antrenor,declarant,regulă,încălca,deplasare,meci"
"România a luat aur la Campionatele Mondiale de Canotaj din Shanghai! Simona Radiș și Magdalena Rusu au fost de neoprit și s-au impus fără drept de apel în finală.","România,Campionatele Mondiale de Canotaj,Shanghai,Simona Radiș,Magdalena Rusu","aur,neoprit,impus,finală"
"Transferurile care ar transforma-o pe Dinamo într-o candidată serioasă la titlu","Transferurile,Dinamo","transforma,candidată serioasă,titlu"
"Florin Tănase și Mihai Stoica, amendați de FRF după atacurile la adresa „fluierașilor”","Florin Tănase,Mihai Stoica,FRF,fluierașilor","amendați,atacurile,adresa"
"Andrei Cristea (41 de ani) s-a despărțit de SC Popești Leordeni, echipă ilfoveană din Liga 3, și preia Concordia Chiajna, echipă tot din","Andrei Cristea,SC Popești Leordeni,Liga 3,Concordia Chiajna","despărțit,echipă ilfoveană,preia"
"Naționala de handbal feminin a României ar fi rămas fără selecționer chiar înaintea Campionatului Mondial, dar Constantin Din mai speră într-o revenire a lui Florentin Pera.","Naționala de handbal feminin a României,Campionatului Mondial,Constantin Din,Florentin Pera","handbal feminin,selecționer,speră,revenire"
"Ionuț Lupescu (56 de ani), fost mare internațional român care ocupă funcția de președinte de onoare la Clubul Sportiv Dinamo, a transmis public și cât se poate de direct că este gata să accepte o eventuală ofertă de la Dan Șucu (62).","Ionuț Lupescu,Clubul Sportiv Dinamo,Dan Șucu","mare internațional român,președinte de onoare,transmis public,direct,gata să accepte,eventuală ofertă"
"Teodora Stoica va prezenta emisiunea „Start Pet” de la PrimaSport","Teodora Stoica,Start Pet,PrimaSport","emisiunea,prezenta"
"Dinamo București a fost la un pas de a mai transfera un fost fotbalist de la FCSB în campania de mercato a verii, care a petrecut 3 ani sub comanda formației „roș-albastre”.","Dinamo București,FCSB,formației „roș-albastre”","transfera,fotbalist,campania de mercato,verii,3 ani,sub comanda"
